1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	64
3	J	64
2	E	68
1	J	68
3	R	68
3	W	74
1	R	74
4	N	74
4	J	75
1	W	75
4	R	75
5	N	107
5	J	107
4	W	108
5	R	108
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	1116
4	R	1116
4	W	1116
0	R	1116
4	J	1136
4	R	1136
4	W	1136
0	R	1136
4	J	1166
4	R	1166
4	W	1166
0	R	1166
4	J	1316
4	R	1316
6	N	1318
6	J	1319
4	W	1319
6	R	1319
6	E	1325
4	J	1325
4	R	1325
7	N	1326
7	J	1326
4	W	1326
7	R	1326
4	J	1329
7	E	1329
4	R	1329
4	W	1330
0	R	1330
4	J	1346
4	R	1346
4	W	1346
0	R	1346
3	J	3073
3	R	3073
3	W	3073
0	R	3073
4	J	3206
4	R	3206
4	W	3206
0	R	3206
4	J	3207
4	R	3208
4	W	3208
0	R	3208
4	J	3266
4	R	3266
4	W	3266
0	R	3266
4	J	3291
4	R	3291
4	W	3291
0	R	3291
4	J	3326
4	R	3326
4	W	3326
0	R	3326
4	J	3356
4	R	3356
4	W	3356
0	R	3356
4	J	3446
4	R	3446
4	W	3446
0	R	3446
4	J	3476
4	R	3476
4	W	3476
0	R	3476
4	J	3836
4	R	3836
4	W	3836
0	R	3836
4	J	3866
4	R	3866
4	W	3866
0	R	3866
4	J	3956
4	R	3956
4	W	3956
0	R	3956
4	J	3986
4	R	3986
4	W	3986
0	R	3986
4	J	4076
4	R	4076
4	W	4076
0	R	4076
4	J	4106
4	R	4106
4	W	4106
0	R	4106
4	J	4646
4	R	4646
4	W	4646
0	R	4646
4	J	4676
4	R	4676
4	W	4676
0	R	4676
4	J	4796
4	R	4796
4	W	4796
0	R	4796
4	J	4826
4	R	4826
4	W	4826
0	R	4826
4	J	4856
4	R	4856
4	W	4856
0	R	4856
4	J	4880
4	R	4880
4	W	4880
0	R	4880
4	J	4946
4	R	4946
4	W	4947
0	R	4947
4	J	4976
4	R	4976
4	W	4976
0	R	4976
4	J	5246
4	R	5246
4	W	5246
0	R	5246
4	J	5285
4	R	5285
4	W	5285
0	R	5285
4	J	6026
4	R	6026
4	W	6026
0	R	6026
4	J	6056
4	R	6056
4	W	6056
0	R	6056
4	J	6116
4	R	6116
4	W	6116
0	R	6116
4	J	6146
4	R	6146
4	W	6146
0	R	6146
4	J	6176
4	R	6176
4	W	6176
0	R	6176
4	J	6262
4	R	6262
4	W	6262
0	R	6262
4	J	6292
4	R	6292
4	W	6292
0	R	6292
4	J	6386
4	R	6386
4	W	6387
0	R	6387
4	J	6416
4	R	6416
4	W	6416
0	R	6416
4	J	6746
4	R	6746
4	W	6746
0	R	6746
4	J	6776
4	R	6776
4	W	6776
0	R	6776
4	J	6926
4	R	6926
4	W	6927
0	R	6927
4	J	6956
4	R	6956
4	W	6956
0	R	6956
4	J	7618
4	R	7618
8	N	7620
8	J	7621
4	W	7621
8	R	7621
9	N	7625
9	J	7626
8	W	7626
9	R	7626
9	E	7682
8	J	7682
8	R	7682
10	N	7683
10	J	7683
8	W	7683
10	R	7683
10	E	7782
8	J	7782
8	R	7782
11	N	7783
11	J	7783
8	W	7784
11	R	7784
11	E	7809
8	J	7809
8	R	7809
12	N	7811
12	J	7811
8	W	7812
12	R	7812
12	E	7891
8	J	7891
8	R	7891
8	E	7893
4	J	7893
4	R	7893
13	N	7893
13	J	7894
4	W	7894
13	R	7894
4	J	7896
13	E	7897
4	R	7897
4	W	7897
0	R	7898
4	J	8426
4	R	8426
4	W	8426
0	R	8426
4	J	8426
4	R	8426
4	W	8426
0	R	8426
4	J	8516
4	R	8516
4	W	8516
0	R	8516
4	J	8546
4	R	8546
4	W	8546
0	R	8546
4	J	8846
