(Unit: tick)
Process   Turnaround   Waiting   CPU Burst   I/O Burst
      0        17626        67           8           0
      1        14258         6           2       14250
      2           19         0          19           0
      3         3009         4           6        2999
      4        18314       156          82       18075
      5            3         1           2           0
      6            7         0           6           0
      7            3         0           3           0
      8          273         0          13         259
      9           57         0          56           0
     10           99         0          99           0
     11           26         1          25           0
     12           80         1          79           0
     13            4         0           3           0
     14         1391         1           9        1381
     15         1388       187           0        1200
     16         2132       967         100        1065
     17         2764      1651         200         912
     18         3383      2242         300         840
     19         3842      2722         400         720
     20         4202      3101         500         600
     21         4461      3381         600         480
     22         4601      3560         700         341
     23         4642      3639         800         202
     24         4620      3617         902         101
     25            4         0           3           0
     26          126       120           5           0
     27            4         0           3           0
     28            3         1           2           0
     29            4         0           3           0
     30            4         0           3           0
     31            4         0           3           0
     32            4         0           3           0
     33            1         0           0           0
Average:     2687.00    747.79
Throughout: 0.19/s
